"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time"
0.86,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00036380124227,0,NA,0,NA,0.000241625436377002,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.87,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.0016868835339,0,NA,0,NA,0.000309677667688815,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.88,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00397452480309,0,NA,0,NA,0.000310104315461417,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00675583212362,0,NA,0,NA,0.000256510380600011,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00920706940766,0,NA,0,NA,0.000248687544984261,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.91,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.01045412722772,0,NA,0,NA,0.000336114401763846,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.92,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00997928650914,0,NA,0,NA,0.00040802387846222,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.93,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00790982965003,0,NA,0,NA,0.000391238991013547,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.94,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00502239532849,0,NA,0,NA,0.000283917836195617,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.95,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00244922522107,0,NA,0,NA,0.000159828893807881,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00121969481011,0,NA,0,NA,0.000202586787368989,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00184237179039,0,NA,0,NA,0.000317396095332333,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
