"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw","C_up_id"
0.62,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00714025787685,0,NA,0,NA,5.95782415692756e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216666666666351,0.638333333333365,0.78,0.781091077804456
0.63,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01151690705454,0,NA,0,NA,4.17256205607008e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028888888888917,0.64,0.788888888888917,0.78192873902575
0.64,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01483443324021,0,NA,0,NA,4.81048221101071e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.65,0.78,0.78352216812301
0.65,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01682394388209,0,NA,0,NA,6.88263741452286e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031111111111083,0.648888888888917,0.781111111111083,0.786130826381427
0.66,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01773563597904,0,NA,0,NA,7.70415378557674e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.638000000000046,0.79,0.789575301790687
0.67,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01799974060701,0,NA,0,NA,6.67525549432167e-05,1.5,1.5,1,1.01799974060701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422222222221661,0.63,0.792222222222166,0.793211220363931
0.68,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01789295103448,0,NA,0,NA,4.35237996998019e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.63,0.8,0.796184769480018
0.69,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01745617720258,0,NA,0,NA,1.85276881753594e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.63,0.8,0.797845640559372
0.7,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01664871436063,0,NA,0,NA,1.38861271138564e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.63,0.8,0.798057461252088
0.71,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01551859839973,0,NA,0,NA,2.53126375794392e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.63,0.796666666666625,0.79719516469372
0.72,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01419971671136,0,NA,0,NA,3.19195745737724e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.63,0.79,0.795826995982297
0.73,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01274109325397,0,NA,0,NA,3.4368609935087e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.625,0.79,0.794307235514658
0.74,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01094611983844,0,NA,0,NA,3.63256139689669e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.62,0.795555555555542,0.792585259069667
0.75,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00841285581684,0,NA,0,NA,4.1470676357246e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.625,0.795,0.790381430506159
