"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw"
0.56,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00400541838402,0,NA,0,NA,2.10631422722078e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03625,1.00375
0.57,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00356014074773,0,NA,0,NA,2.04611306413367e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04363636363642,0.03363636363642,1
0.58,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00374490112556,0,NA,0,NA,1.72096989954264e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1
0.59,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00463190792335,0,NA,0,NA,1.76184286915783e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048888888888917,0.038888888888917,1
0.6,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00612130805138,0,NA,0,NA,2.34172706036316e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,1.01
0.61,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00795896520559,0,NA,0,NA,2.84990176215792e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0362499999998224,1.00624999999982
0.62,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00982457211455,0,NA,0,NA,2.85663996724396e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462500000001066,0.0362500000001066,1.00625000000011
0.63,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01140707778435,0,NA,0,NA,2.25731497938252e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.64,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01244050373452,0,NA,0,NA,1.26772012864863e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.65,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01273216601929,0,NA,0,NA,8.12438528299773e-06,1.5,1.5,1,1.01273216601929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0487500000000355,1.01
0.66,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01221001168455,0,NA,0,NA,1.47972586224961e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.67,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01097366273025,0,NA,0,NA,1.88955383169402e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.68,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00930272446867,0,NA,0,NA,1.80369015477362e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.69,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00757908003679,0,NA,0,NA,1.61004221573706e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.00454545454536
0.7,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00612992600402,0,NA,0,NA,1.78217573002189e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1
0.71,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00507718298212,0,NA,0,NA,1.93986333680334e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1
0.72,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00430922442137,0,NA,0,NA,1.54502611814874e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.73,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00360999674866,0,NA,0,NA,8.16659050005284e-06,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0.0425,1
0.74,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00285120766255,0,NA,0,NA,1.4512932741651e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,1
0.75,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00210797530986,0,NA,0,NA,2.47725297626703e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04625,0.04625,1
0.76,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00163015602952,0,NA,0,NA,2.90880100925354e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462500000001066,0.04,1
0.77,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00170411229426,0,NA,0,NA,2.73413694055093e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0322222222221661,1
0.78,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00249471834307,0,NA,0,NA,2.38391186699681e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1
0.79,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00395509137995,0,NA,0,NA,2.26893203184102e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0375000000000711,1
0.8,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00585393687871,0,NA,0,NA,2.32654806669699e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0336363636362885,1.00363636363629
0.81,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00790974215046,0,NA,0,NA,2.29405209858571e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0362500000001066,1.01
0.82,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00994525886912,0,NA,0,NA,2.14978674506869e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.83,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01193448996938,0,NA,0,NA,2.16551023175736e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.84,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01387713679428,0,NA,0,NA,2.35387646207093e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1.01
0.85,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01558528296059,0,NA,0,NA,2.24996631920755e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0322222222221661,1.01
0.86,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01657977372503,0,NA,0,NA,1.90854491848468e-05,1.5,1.5,1,1.01657977372503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01272727272742
0.87,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01624986068373,0,NA,0,NA,2.54788557120137e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.02
0.88,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01423063015032,0,NA,0,NA,3.90763740343906e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01499999999986
0.89,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01074940326359,0,NA,0,NA,4.65914717615831e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
